Transaction_ID,Date,Time,Day_of_Week,Product,Quantity,Unit_Price_AED,Total_Amount_AED,Payment_Method
1120,2025-01-22,16:59,Wednesday,Latte,1,20,20,Card
1121,2025-01-23,16:44,Thursday,Latte,1,20,20,Card
1122,2025-01-23,08:42,Thursday,Cappuccino,1,20,20,Card
1123,2025-01-23,12:04,Thursday,Espresso,1,15,15,Card
1124,2025-01-23,10:00,Thursday,Sandwich,1,35,35,Card
1125,2025-01-23,08:46,Thursday,Espresso,1,15,15,Card
1126,2025-01-23,08:15,Thursday,Cappuccino,1,20,20,Digital Wallet
1127,2025-01-24,12:56,Friday,Espresso,1,15,15,Cash
1128,2025-01-24,08:49,Friday,Cappuccino,1,20,20,Digital Wallet
1129,2025-01-24,15:15,Friday,Pastry,1,25,25,Card
1130,2025-01-25,15:44,Saturday,Espresso,1,15,15,Cash
1131,2025-01-25,15:53,Saturday,Latte,1,20,20,Cash
1132,2025-01-25,18:12,Saturday,Pastry,1,25,25,Card
1133,2025-01-25,16:33,Saturday,Cappuccino,1,20,20,Cash
1134,2025-01-25,11:43,Saturday,Latte,1,20,20,Digital Wallet
1135,2025-01-25,16:44,Saturday,Cappuccino,1,20,20,Digital Wallet
1136,2025-01-25,10:31,Saturday,Pastry,1,25,25,Digital Wallet
1137,2025-01-26,16:30,Sunday,Espresso,1,15,15,Card
1138,2025-01-26,11:33,Sunday,Cappuccino,1,20,20,Cash
1139,2025-01-26,08:15,Sunday,Latte,1,20,20,Card
1140,2025-01-26,13:52,Sunday,Espresso,1,15,15,Card
1141,2025-01-26,16:58,Sunday,Pastry,1,25,25,Digital Wallet
1142,2025-01-26,16:28,Sunday,Cappuccino,2,20,40,Digital Wallet
1143,2025-01-26,15:10,Sunday,Cappuccino,1,20,20,Card
1144,2025-01-27,09:21,Monday,Cappuccino,1,20,20,Cash
1145,2025-01-27,17:03,Monday,Latte,1,20,20,Card
1146,2025-01-27,08:03,Monday,Espresso,2,15,30,Card
1147,2025-01-28,16:36,Tuesday,Cappuccino,1,20,20,Cash
1148,2025-01-28,16:22,Tuesday,Espresso,1,15,15,Digital Wallet
1149,2025-01-28,10:22,Tuesday,Cappuccino,1,20,20,Digital Wallet
1150,2025-01-28,15:20,Tuesday,Latte,1,20,20,Cash
1151,2025-01-28,09:35,Tuesday,Cappuccino,1,20,20,Card
1152,2025-01-29,11:17,Wednesday,Espresso,2,15,30,Card
1153,2025-01-29,15:03,Wednesday,Espresso,1,15,15,Card
1154,2025-01-29,18:09,Wednesday,Espresso,1,15,15,Digital Wallet
1155,2025-01-29,16:19,Wednesday,Pastry,1,25,25,Cash
1156,2025-01-29,19:22,Wednesday,Pastry,1,25,25,Card
1157,2025-01-30,11:34,Thursday,Cappuccino,1,20,20,Cash
1158,2025-01-30,15:03,Thursday,Pastry,1,25,25,Card
1159,2025-01-30,12:44,Thursday,Espresso,1,15,15,Card
1160,2025-01-30,16:34,Thursday,Latte,1,20,20,Cash
1161,2025-01-31,18:52,Friday,Pastry,1,25,25,Card
1162,2025-01-31,10:17,Friday,Espresso,1,15,15,Cash
1163,2025-01-31,09:15,Friday,Espresso,1,15,15,Cash
1164,2025-01-31,17:00,Friday,Latte,1,20,20,Cash
1165,2025-01-31,14:57,Friday,Pastry,1,25,25,Card
1166,2025-01-31,09:00,Friday,Latte,1,20,20,Card
1051,2025-01-10,08:50,Friday,Pastry,2,25,50,Cash
